M Under 1,M 1 to 14,M 15 to 44,M 45 to 64,M 65 to 74,75 to 84,M 85 and over,F Under 1,F 1 to 14,F 15 to 44,F 45 to 64,F 65 to 74,F 75 to 84,F 85 and over
952.380952380952,12380.9523809524,14500,9666.66666666667,1333.33333333333,1333.33333333333,1333.33333333333,952.380952380952,12380.9523809524,14500,9666.66666666667,1333.33333333333,1333.33333333333,1333.33333333333
476.190476190476,6190.47619047619,7250,4833.33333333333,666.666666666667,666.666666666667,666.666666666667,476.190476190476,6190.47619047619,7250,4833.33333333333,666.666666666667,666.666666666667,666.666666666667
0,0,0,0,0,0,0,0,0,0,0,0,0,0
